키워드,노출여부,순위,카페명,조회수,작성일,링크
할아버지선물,o,4,쇼핑지름신,161,2026-04-11,https://cafe.naver.com/shopjirmsin/11198165?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BqaXJtc2luIiwiYXJ0aWNsZUlkIjoxMTE5ODE2NSwiaXNzdWVkQXQiOjE3ODE0MjgxNjMwMjR9.HCa6SAj0eOxKwF6YB-K370PX4g7-dLNGN68BN2ICD3c
말린생강,,,,,,
70대선물,,,,,,
남자친구부모님선물,,,,,,
키즈아연,,,,,,
고단백질음식,o,1,쇼핑지름신,483,2026-03-04,https://cafe.naver.com/shopjirmsin/11105632?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BqaXJtc2luIiwiYXJ0aWNsZUlkIjoxMTEwNTYzMiwiaXNzdWVkQXQiOjE3ODE0MjgxNzI1MTl9.jSJ1e9snF_zPURqMkLOBDvbzbqPaY9NTuUcTUqk5Qxw
녹용추천,,,,,,
할아버지생신선물,,,,,,
60대아빠선물,,,,,,
60대남자선물,,,,,,
천담온 흑염소진액,,,,,,
부모님인사선물,,,,,,
김오곤흑염소,,,,,,
블러드케어,,,,,,
둘째 임신,,,,,,
혈행개선영양제,,,,,,
시부모님선물,,,,,,
어린이아연,,,,,,
생강청효능,,,,,,
임산부멀티비타민,,,,,,
젤리스틱,,,,,,
천연종합비타민,o,2,샤넬오픈런,,,https://cafe.naver.com/shoppingtpw/279769?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BwaW5ndHB3IiwiYXJ0aWNsZUlkIjoyNzk3NjksImlzc3VlZEF0IjoxNzgxNDI4NTEyMzQwfQ.KdFyYOL00znwKeH5OgnIDOAdY5pAniNy-Tqtn9W4stE
아기아연,,,,,,
이노시톨영양제,,,,,,
80대할머니선물,,,,,,
임신준비선물,,,,,,
녹용가격,,,,,,
실론시나몬,,,,,,
대추가격,,,,,,
고등학생 영양제,,,,,,
고등학생영양제,,,,,,
50대아빠생일선물,,,,,,
40대선물,,,,,,
한방차,,,,,,
건강식품선물,,,,,,
50대여성선물,,,,,,
비타민B음식,o,2,쇼핑지름신,998,2026-03-04,https://cafe.naver.com/shopjirmsin/11105826?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BqaXJtc2luIiwiYXJ0aWNsZUlkIjoxMTEwNTgyNiwiaXNzdWVkQXQiOjE3ODE0Mjg5NjYxMDF9.pUYCqM0eehUmTG-EyuTdDgXAjKFPkT7QvfGXy80qVJs
퀘르세틴브로멜라인,,,,,,
수험생비타민,,,,,,
흑염소진액 추천,,,,,,
먹는알로에,,,,,,
할머니선물추천,,,,,,
아버님생신선물,,,,,,
코스트코오메가3,,,,,,
셀레늄음식,,,,,,
초등학생 영양제,,,,,,
50대생일선물,,,,,,
장어즙효능,,,,,,
중학생 영양제,,,,,,
보양식추천,,,,,,
중학생영양제,,,,,,
60대남자생일선물,o,2,쇼핑지름신,,,https://cafe.naver.com/shopjirmsin/11242003?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BqaXJtc2luIiwiYXJ0aWNsZUlkIjoxMTI0MjAwMywiaXNzdWVkQXQiOjE3ODE0Mjk0ODAyODF9.U_HvTwc7ttwuZ_fHleE4tdLM5RQFDmzz0yB49TSTVAQ
이노시톨추천,,,,,,
수제쌍화차,,,,,,
혈행케어,,,,,,
피로회복 음료,,,,,,
피로회복에좋은음식,o,8,샤넬오픈런,,,https://cafe.naver.com/shoppingtpw/282544?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BwaW5ndHB3IiwiYXJ0aWNsZUlkIjoyODI1NDQsImlzc3VlZEF0IjoxNzgxNDI5NjEwODA4fQ.l73hkbluy55xL6BF433jxZp-19SD3rtRiKDI9dUrLtg
시나몬차,,,,,,
한살림흑염소,,,,,,
셀레늄영양제,,,,,,
활성엽산추천,,,,,,
대추생강차효능,o,3,쇼핑지름신,,,https://cafe.naver.com/shopjirmsin/9712601?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BqaXJtc2luIiwiYXJ0aWNsZUlkIjo5NzEyNjAxLCJpc3N1ZWRBdCI6MTc4MTQyOTc0MTA5MH0.0wSjaKqQKCrYxakXAEBwNTSE34uMHntJYfFfYvHVHPA
비타민D츄어블,,,,,,
도라지생강차,,,,,,
아연많은음식,,,,,,
아연이많은음식,,,,,,
홍삼즙,,,,,,
얼굴살찌는법,,,,,,
노인영양제,,,,,,
출산후선물,,,,,,
어린이 면역력 영양제,,,,,,
겨울보양식,o,1,건강관리소,11,2026-03-04,https://cafe.naver.com/minemh/547?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im1pbmVtaCIsImFydGljbGVJZCI6NTQ3LCJpc3N1ZWRBdCI6MTc4MTQyOTc3ODk0MX0.9I-P2HbiXugSYJG9SZoK_ImeCn161Oqwb0BRMzTImOk
다낭성이노시톨,,,,,,
원기회복음식,,,,,,
몸보신메뉴,,,,,,
할머니생신선물,,,,,,
녹용흑염소,,,,,,
계피생강차,,,,,,
계피스틱,,,,,,
생강계피차,,,,,,
40대 남편 생일선물,,,,,,
청소년종합비타민,o,3,샤넬오픈런,,,https://cafe.naver.com/shoppingtpw/283668?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BwaW5ndHB3IiwiYXJ0aWNsZUlkIjoyODM2NjgsImlzc3VlZEF0IjoxNzgxNDMwMDE3NDcxfQ.kT_xlKKp50T4fA2rhzpY_fATiqyZnjMs45tbM0t3flI
이뮨젤리,,,,,,
몸에좋은음식,,,,,,
산모에게좋은과일,,,,,,
블랙마카추천,,,,,,
염소가격,,,,,,
활성엽산,,,,,,
장인어른 생신선물,,,,,,
겨울철보양식,o,1,샤넬오픈런,,,https://cafe.naver.com/shoppingtpw/279776?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BwaW5ndHB3IiwiYXJ0aWNsZUlkIjoyNzk3NzYsImlzc3VlZEF0IjoxNzgxNDMwMDI5MzY1fQ.u6_gBXakKYcMQ8TUU0Lh5mw3C9IziheYjrIPxz75ojE
장인어른생신선물,,,,,,
활성엽산800,,,,,,
남편결혼기념일선물,,,,,,
몸을따뜻하게하는음식,o,1 | 2,쇼핑지름신 | 샤넬오픈런,228,2026-04-25,https://cafe.naver.com/shopjirmsin/11232915?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BqaXJtc2luIiwiYXJ0aWNsZUlkIjoxMTIzMjkxNSwiaXNzdWVkQXQiOjE3ODE0MzAwMzYwNDB9.sNEfOLckBQ9W6xLMaEd58p68tYjUsfYhhqu3gK-ZIXY | https://cafe.naver.com/shoppingtpw/281349?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BwaW5ndHB3IiwiYXJ0aWNsZUlkIjoyODEzNDksImlzc3VlZEF0IjoxNzgxNDMwMDM2MDQwfQ.5TlE36BNly8W8KIrXPU8fjn28z_B9RactYeSNcKBf1w
계피차효능,,,,,,
60대아버지생신선물,,,,,,
남자아연,o,3,샤넬오픈런,,,https://cafe.naver.com/shoppingtpw/279343?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BwaW5ndHB3IiwiYXJ0aWNsZUlkIjoyNzkzNDMsImlzc3VlZEF0IjoxNzgxNDMwMDQxMzQyfQ.1ft6Cjpt0yRYMFR4lRGFjixjdH-PIP_86PsqRHdW-bg
출산후 좋은 음식,o,1 | 2,쇼핑지름신 | 샤넬오픈런,305,2026-03-09,https://cafe.naver.com/shopjirmsin/11117864?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BqaXJtc2luIiwiYXJ0aWNsZUlkIjoxMTExNzg2NCwiaXNzdWVkQXQiOjE3ODE0MzAwNDMyOTN9.e763v8GOPs7E9LDm8A2MEmY9OYBKbpBLuly-p4HwXn8 | https://cafe.naver.com/shoppingtpw/292578?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BwaW5ndHB3IiwiYXJ0aWNsZUlkIjoyOTI1NzgsImlzc3VlZEF0IjoxNzgxNDMwMDQzMjkzfQ.ZSQZxzt6f0herVphpwCapXz86y4iNCXjtZkLedyaScY
모유수유좋은음식,,,,,,
생강레몬차,,,,,,
엽산추천,,,,,,
활성엽산400,,,,,,
60대선물,,,,,,
토종흑염소진액,,,,,,
수험생선물,,,,,,
60대엄마선물,,,,,,
기력회복음식,,,,,,
대추생강차,,,,,,
마시는샐러드,,,,,,
생강대추차,,,,,,
40대엄마생일선물,o,2,샤넬오픈런,,,https://cafe.naver.com/shoppingtpw/281788?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BwaW5ndHB3IiwiYXJ0aWNsZUlkIjoyODE3ODgsImlzc3VlZEF0IjoxNzgxNDMwMDY1MTg0fQ.AJ8qTrwFuT_gNf4Xp5hxe5MJA9oNo9iabTR5FfsZ7J0
생칡즙,,,,,,
출산산모선물,,,,,,
출산후산모선물,,,,,,
산모출산선물,,,,,,
쌍화탕재료,,,,,,
여자친구부모님첫인사선물,,,,,,
아내출산선물,,,,,,
작약차,,,,,,
남자엽산,,,,,,
도라지생강청,,,,,,
쌍화차재료,o,1,쇼핑지름신,680,2026-02-27,https://cafe.naver.com/shopjirmsin/11093182?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BqaXJtc2luIiwiYXJ0aWNsZUlkIjoxMTA5MzE4MiwiaXNzdWVkQXQiOjE3ODE0MzAwODMyOTZ9.7kG5rDH262FHtjAZhiaVRuG0ECMYdUEAtBnl2GeDqBE
생강차스틱,,,,,,
산모에게 좋은 음식,o,1,쇼핑지름신,467,2026-03-21,https://cafe.naver.com/shopjirmsin/11146281?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BqaXJtc2luIiwiYXJ0aWNsZUlkIjoxMTE0NjI4MSwiaXNzdWVkQXQiOjE3ODE0MzAwODcxNjN9.bmm_Wl88cdiLbEfz2KMdgvOFWzPanlY0IyToLCXLBjE
엽산800,,,,,,
산후조리 음식,o,1 | 7,쇼핑지름신 | 샤넬오픈런,90,2026-03-05,https://cafe.naver.com/shopjirmsin/11108751?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BqaXJtc2luIiwiYXJ0aWNsZUlkIjoxMTEwODc1MSwiaXNzdWVkQXQiOjE3ODE0MzAwOTEwMTl9.FQkSR3P51wWDha5HoUvk86ag1Yty0JZ0rOrMtZI6k-k | https://cafe.naver.com/shoppingtpw/279783?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BwaW5ndHB3IiwiYXJ0aWNsZUlkIjoyNzk3ODMsImlzc3VlZEF0IjoxNzgxNDMwMDkxMDE5fQ.e11hBqcH-93jbmSKD1L2wtRijxa1F1PFkpwthsEOBOs
기력회복에 좋은 음식,o,5,쇼핑지름신,174,2026-02-27,https://cafe.naver.com/shopjirmsin/11093717?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BqaXJtc2luIiwiYXJ0aWNsZUlkIjoxMTA5MzcxNywiaXNzdWVkQXQiOjE3ODE0MzAwOTMxMTV9.Sk53CC2ep3UkDMg3FWCaIdNMG-DSO9oHMlUPTLP8NKA
기력회복에좋은음식,o,5,쇼핑지름신,174,2026-02-27,https://cafe.naver.com/shopjirmsin/11093717?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BqaXJtc2luIiwiYXJ0aWNsZUlkIjoxMTA5MzcxNywiaXNzdWVkQXQiOjE3ODE0MzAwOTUyNzJ9.St-GTEn0n7cjZwsjnY4ZLXK65a693PYDwh7PJwUMuzg
몸을따뜻하게하는차,o,2,쇼핑지름신,228,2026-04-25,https://cafe.naver.com/shopjirmsin/11232915?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BqaXJtc2luIiwiYXJ0aWNsZUlkIjoxMTIzMjkxNSwiaXNzdWVkQXQiOjE3ODE0MzAwOTcxNTJ9.qdCN7oenMmE1Jyow-yS5i07eemCedlNd8U1BctSq87Y
생강쌍화,,,,,,
유기농레몬생강즙,,,,,,
건강강,,,,,,
울릉도흑염소,o,1,샤넬오픈런,,,https://cafe.naver.com/shoppingtpw/283926?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InNob3BwaW5ndHB3IiwiYXJ0aWNsZUlkIjoyODM5MjYsImlzc3VlZEF0IjoxNzgxNDI5OTY4MzI5fQ._3tvFEDOrLF6aBnTHAGm79mtJ5sbJqcB-tSAKNlco9Y
마가목흑염소,,,,,,
홍성호흑염소,,,,,,
울릉도마가목흑염소,,,,,,
계류유산 후 몸조리,o,1,샤넬오픈런,2026-06-15,https://cafe.naver.com/ca-fe/cafes/25460974/articles/310211,
계류유산 후 부부관계,o,1,샤넬오픈런,2026-06-15,https://cafe.naver.com/ca-fe/cafes/25460974/articles/310210,
부부 염색체 검사 비용,o,1,샤넬오픈런,2026-06-15,https://cafe.naver.com/ca-fe/cafes/25460974/articles/310198,
습관성 유산 검사,o,1,샤넬오픈런,2026-06-15,https://cafe.naver.com/ca-fe/cafes/25460974/articles/310185,
자궁근종 임신,o,1,샤넬오픈런,2026-06-15,https://cafe.naver.com/ca-fe/cafes/25460974/articles/310175,
